Longitude,Latitude,Depth (km),Length,Width,Strike,Dip,Rake,Slip,UnitSrc
120.24,2.03,11.99,15.19788,13.52505,87.61,21,93.042,9.1,acsza31
120.34,2.03,11.99,14.94894,13.42609,87.61,21,93.042,9.1,acsza31
120.45,2.04,11.99,14.70001,13.32713,87.61,21,93.042,9.1,acsza31
120.55,2.05,11.99,14.25528,14.78755,79.66,21,100.992,9.1,acsza31
120.65,2.07,11.99,13.95257,15.44606,76.6,21,104.052,9.1,acsza31
120.75,2.09,11.99,13.7426,15.56319,76.6,21,104.052,9.1,acsza31
120.85,2.11,11.99,13.54221,15.54166,77.9,21,102.752,9.1,acsza31
120.94,2.11,11.99,13.44461,15.26154,100.23,21,80.422,9.1,acsza31
121.04,2.1,11.99,13.22469,15.07883,100.23,21,80.422,9.1,acsza31
121.15,2.08,11.99,13.00477,14.89612,100.23,21,80.422,9.1,acsza31
121.25,2.06,11.99,12.78023,14.77739,100.23,21,80.422,9.1,acsza31
121.35,2.04,11.99,12.55379,14.68505,100.23,21,80.422,9.1,acsza31
121.45,2.03,11.99,12.44855,12.77597,89.99,21,90.662,9.1,acsza31
121.55,2.04,11.99,12.24009,13.3004,87.35,21,93.302,9.1,acsza31
121.65,2.04,11.99,11.99669,13.46237,87.35,21,93.302,9.1,acsza31
121.75,2.04,11.99,11.75306,13.62434,87.35,21,93.302,9.1,acsza31
121.85,2.05,11.99,11.50913,13.78809,87.35,21,93.302,9.1,acsza31
121.95,2.05,11.99,11.42936,13.55351,89.5,21,91.152,9.1,acsza31
122.06,2.05,11.99,11.57547,14.61541,95.32,21,85.332,9.1,acsza31
122.16,2.04,11.99,11.8157,14.62384,95.32,21,85.332,9.1,acsza31
122.26,2.03,11.99,12.05593,14.63226,95.32,21,85.332,9.1,acsza31
120.28,1.91,14.29,14.94894,13.62401,87.05,21,93.602,9.1,acsza31
120.38,1.91,14.29,14.70001,13.52505,87.05,21,93.602,9.1,acsza31
120.48,1.92,14.29,14.45107,13.42609,87.05,21,93.602,9.1,acsza31
120.58,1.93,14.29,14.0281,14.73057,79.74,21,100.912,9.1,acsza31
120.67,1.95,14.29,13.73378,15.32893,76.93,21,103.722,9.1,acsza31
120.77,1.97,14.29,13.53263,15.32269,77.56,21,103.092,9.1,acsza31
120.87,1.99,14.29,13.33453,15.28524,78.97,21,101.682,9.1,acsza31
120.97,1.99,14.29,13.22469,15.07883,99.5,21,81.152,9.1,acsza31
121.06,1.98,14.29,13.00477,14.89612,99.5,21,81.152,9.1,acsza31
121.16,1.96,14.29,12.78485,14.71342,99.5,21,81.152,9.1,acsza31
121.26,1.95,14.29,12.5557,14.65866,99.83,21,80.822,9.1,acsza31
121.36,1.93,14.29,12.32735,14.59272,99.96,21,80.692,9.1,acsza31
121.46,1.92,14.29,12.20865,12.88493,90.56,21,90.092,9.1,acsza31
121.56,1.92,14.29,11.99669,13.13843,88.13,21,92.522,9.1,acsza31
121.66,1.92,14.29,11.75329,13.3004,88.13,21,92.522,9.1,acsza31
121.76,1.93,14.29,11.50944,13.4606,88.14,21,92.512,9.1,acsza31
121.85,1.93,14.29,11.2652,13.62187,88.15,21,92.502,9.1,acsza31
121.95,1.93,14.29,11.18642,13.57852,90.13,21,90.522,9.1,acsza31
122.05,1.92,14.29,11.33524,14.62384,95.47,21,85.182,9.1,acsza31
122.15,1.91,14.29,11.57547,14.63226,95.47,21,85.182,9.1,acsza31
122.25,1.9,14.29,11.8157,14.64069,95.47,21,85.182,9.1,acsza31
120.31,1.79,17.22,14.70001,13.72297,86.46,21,94.192,9.1,acsza31
120.41,1.8,17.22,14.45107,13.62401,86.46,21,94.192,9.1,acsza31
120.51,1.8,17.22,14.20213,13.52505,86.46,21,94.192,9.1,acsza31
120.6,1.82,17.22,13.80091,14.6736,79.82,21,100.832,9.1,acsza31
120.7,1.84,17.22,13.51499,15.2118,77.27,21,103.382,9.1,acsza31
120.79,1.86,17.22,13.32266,15.08219,78.56,21,102.092,9.1,acsza31
120.89,1.87,17.22,13.12684,15.02883,80.1,21,100.552,9.1,acsza31
120.99,1.87,17.22,13.00477,14.89612,98.74,21,81.912,9.1,acsza31
121.08,1.86,17.22,12.78485,14.71342,98.74,21,81.912,9.1,acsza31
121.18,1.84,17.22,12.56493,14.53071,98.74,21,81.912,9.1,acsza31
121.27,1.83,17.22,12.33116,14.53993,99.41,21,81.242,9.1,acsza31
121.37,1.81,17.22,12.10091,14.50038,99.69,21,80.962,9.1,acsza31
121.47,1.8,17.22,11.96874,12.99452,91.15,21,89.502,9.1,acsza31
121.56,1.8,17.22,11.75329,12.97645,88.94,21,91.712,9.1,acsza31
121.66,1.8,17.22,11.50989,13.13843,88.94,21,91.712,9.1,acsza31
121.76,1.81,17.22,11.26582,13.29685,88.96,21,91.692,9.1,acsza31
121.86,1.81,17.22,11.02126,13.45566,88.99,21,91.662,9.1,acsza31
121.95,1.81,17.22,10.94349,13.70215,90.78,21,89.872,9.1,acsza31
122.05,1.8,17.22,11.09501,14.63226,95.64,21,85.012,9.1,acsza31
122.15,1.79,17.22,11.33524,14.64069,95.64,21,85.012,9.1,acsza31
122.24,1.78,17.22,11.57547,14.64911,95.64,21,85.012,9.1,acsza31
120.35,1.67,20.82,14.45107,13.82193,85.85,21,94.802,9.1,acsza31
120.44,1.68,20.82,14.20213,13.72297,85.85,21,94.802,9.1,acsza31
120.54,1.69,20.82,13.95319,13.62401,85.85,21,94.802,9.1,acsza31
120.63,1.7,20.82,13.57373,14.61662,79.91,21,100.742,9.1,acsza31
120.73,1.72,20.82,13.2962,15.09467,77.63,21,103.022,9.1,acsza31
120.82,1.74,20.82,13.11269,14.8417,79.61,21,101.042,9.1,acsza31
120.91,1.75,20.82,12.91915,14.77242,81.27,21,99.382,9.1,acsza31
121.01,1.75,20.82,12.78485,14.71342,97.95,21,82.702,9.1,acsza31
121.1,1.74,20.82,12.56493,14.53071,97.95,21,82.702,9.1,acsza31
121.19,1.73,20.82,12.34501,14.34801,97.95,21,82.702,9.1,acsza31
121.29,1.71,20.82,12.10663,14.4212,98.98,21,81.672,9.1,acsza31
121.38,1.7,20.82,11.87447,14.40804,99.4,21,81.252,9.1,acsza31
121.48,1.69,20.82,11.72883,13.10412,91.77,21,88.882,9.1,acsza31
121.57,1.69,20.82,11.50989,12.93794,89.79,21,90.862,9.1,acsza31
121.67,1.69,20.82,11.26649,13.09991,89.79,21,90.862,9.1,acsza31
121.76,1.69,20.82,11.02219,13.26366,89.82,21,90.832,9.1,acsza31
121.86,1.69,20.82,10.77733,13.42987,89.86,21,90.792,9.1,acsza31
121.95,1.68,20.82,10.70056,13.82579,91.47,21,89.182,9.1,acsza31
122.05,1.68,20.82,10.85478,14.64069,95.81,21,84.842,9.1,acsza31
122.14,1.67,20.82,11.09501,14.64911,95.81,21,84.842,9.1,acsza31
122.24,1.66,20.82,11.33524,14.65754,95.81,21,84.842,9.1,acsza31
120.38,1.56,25.1,14.20213,13.92089,85.21,21,95.442,9.1,acsza31
120.48,1.56,25.1,13.95319,13.82193,85.21,21,95.442,9.1,acsza31
120.57,1.57,25.1,13.70425,13.72297,85.21,21,95.442,9.1,acsza31
120.66,1.58,25.1,13.34655,14.55964,80.0,21,100.652,9.1,acsza31
120.75,1.6,25.1,13.07741,14.97754,78.0,21,102.652,9.1,acsza31
120.84,1.62,25.1,12.90272,14.6012,80.71,21,99.942,9.1,acsza31
120.93,1.63,25.1,12.71146,14.51601,82.51,21,98.142,9.1,acsza31
121.03,1.63,25.1,12.56493,14.53071,97.11,21,83.542,9.1,acsza31
121.12,1.62,25.1,12.34501,14.34801,97.11,21,83.542,9.1,acsza31
121.21,1.61,25.1,12.12509,14.1653,97.11,21,83.542,9.1,acsza31
121.3,1.6,25.1,11.88209,14.30246,98.52,21,82.132,9.1,acsza31
121.4,1.58,25.1,11.64803,14.3157,99.1,21,81.552,9.1,acsza31
121.49,1.57,25.1,11.48893,13.21371,92.42,21,88.232,9.1,acsza31
121.58,1.57,25.1,11.26649,13.0614,90.68,21,89.972,9.1,acsza31
121.67,1.57,25.1,11.02309,13.22337,90.68,21,89.972,9.1,acsza31
121.77,1.57,25.1,10.77857,13.39421,90.72,21,89.932,9.1,acsza31
121.86,1.57,25.1,10.5334,13.57031,90.77,21,89.882,9.1,acsza31
121.95,1.56,25.1,10.45762,13.94942,92.18,21,88.472,9.1,acsza31
122.05,1.56,25.1,10.61455,14.64911,95.99,21,84.662,9.1,acsza31
122.14,1.55,25.1,10.85478,14.65754,95.99,21,84.662,9.1,acsza31
122.23,1.54,25.1,11.09501,14.66596,95.99,21,84.662,9.1,acsza31
